event_id,state_abbrev,state_name,governor_name,governor_gender,party,term_start_date,legal_term_end_date,removal_date,return_date,event_type,event_subtype,removal_mechanism,initiating_institution,succession_type,vice_assumed,presidential_intervention,intervention_start_date,intervention_end_date,judicialization_level,electoral_justice_case,case_notes,sample_class,sample_note,include_main_sample,include_extended_sample,source_primary,source_secondary
PB_2009_01,PB,Paraiba,Cassio Cunha Lima,M,PSDB,2007-01-01,2010-12-31,2009-02-17,,electoral_cassation,abuse_of_power_and_prohibited_conduct,TSE_final_decision,TSE,second_placed_assumed,no,no,,,TSE_final_yes,yes,Cassacao do mandato e posse do segundo colocado Jose Maranhao apos decisao final do TSE,main,Definitive electoral removal with clear transfer of power,1,1,TSE/Agencia Brasil,TSE 2014 noticia sobre elegibilidade de Cassio
MA_2009_01,MA,Maranhao,Jackson Lago,M,PDT,2007-01-01,2010-12-31,2009-04-17,,electoral_cassation,abuse_of_power_political_and_economic,TSE_final_decision,TSE,second_placed_assumed,no,no,,,TSE_final_yes,yes,Cassacao confirmada pelo TSE e posse de Roseana Sarney como segunda colocada,main,Definitive electoral removal with clear transfer of power,1,1,TSE/Agencia Brasil,Correiro Braziliense 2009
TO_2009_01,TO,Tocantins,Marcelo Miranda,M,PMDB,2007-01-01,2010-12-31,2009-09-08,,electoral_cassation,abuse_of_political_power,TSE_final_decision,TSE,indirect_election_after_interim,no,no,,,TSE_final_yes,yes,Cassacao definitiva apos rejeicao dos recursos no TSE; houve eleicao indireta no estado,main,Definitive electoral removal despite unusual succession mechanism,1,1,TSE imprensa/RCN67,NSC Total 2009
DF_2010_01,DF,Distrito Federal,Jose Roberto Arruda,M,DEM,2007-01-01,2010-12-31,2010-02-11,,judicial_suspension_and_resignation,criminal_investigation_followed_by_resignation,STJ_pretrial_detention_and_judicial_removal_pressure,STJ_and_CLDF,vice_assumed_then_resigned,no,no,,,STJ_and_local_institutions,no,Afastado e preso em fevereiro de 2010; renunciou em meio a crise politica no DF,extended,Real rupture but mixed judicial pressure and resignation sequence,0,1,CLDF/STJ,Wikipedia for chronology cross-check
AM_2017_01,AM,Amazonas,Jose Melo,M,PROS,2015-01-01,2018-12-31,2017-05-04,,electoral_cassation,vote_buying,TSE_final_decision,TSE,supplementary_direct_election,no,no,,,TSE_final_yes,yes,TSE cassou a chapa e determinou eleicao suplementar direta no Amazonas,main,Definitive electoral removal with strong comparability,1,1,TSE,TRE-AM/TSE follow-up
TO_2018_01,TO,Tocantins,Marcelo Miranda,M,PMDB,2015-01-01,2018-12-31,2018-03-22,,electoral_cassation,illicit_campaign_finance,TSE_final_decision,TSE,indirect_election_after_interim,no,no,,,TSE_final_yes,yes,Segunda cassacao de Marcelo Miranda agora por arrecadacao ilicita na campanha de 2014,main,Definitive electoral removal with identifiable treatment date,1,1,TSE,TSE 2018
RR_2018_01,RR,Roraima,Suely Campos,F,PP,2015-01-01,2018-12-31,2018-12-10,,federal_intervention,statewide_federal_intervention,presidential_decree_ratified_by_congress,Presidency_and_National_Congress,interventor_assumed,no,yes,2018-12-10,2018-12-31,federal_intervention,no,Intervencao federal total em Roraima retirou a governadora do cargo e nomeou Antonio Denarium como interventor,extended,Clear rupture but extremely short end-of-term intervention,0,1,Senado Noticias/EBC,Governo de Roraima
RR_2026_01,RR,Roraima,Edilson Damiao,M,Uniao Brasil,2026-03-27,2026-12-31,2026-04-30,,electoral_cassation,vice_governor_turned_governor_cassated,TSE_final_decision,TSE,president_of_assembly_assumed,no,no,,,TSE_final_yes,yes,Damiao assumiu o governo apos a renuncia de Denarium em 27 de marco de 2026 e foi cassado pelo TSE em 30 de abril de 2026; Soldado Sampaio assumiu interinamente,borderline,Real removal but sitting governor had only a one-month tenure after predecessor resignation,0,1,TSE/FolhaBV,FolhaBV
RJ_2020_01,RJ,Rio de Janeiro,Wilson Witzel,M,PSC,2019-01-01,2022-12-31,2020-08-28,,judicial_suspension_and_impeachment,stj_suspension_followed_by_impeachment,STJ_cautelar_followed_by_mixed_court_impeachment,STJ_and_TJRJ,vice_assumed_then_became_governor,yes,no,,,STJ_and_state_impeachment,no,Afastado por 180 dias pelo STJ em 28 de agosto de 2020 e destituido definitivamente por impeachment em 30 de abril de 2021,main,Temporary removal became definitive loss of office in same interruption sequence,1,1,STJ,TJRJ
SC_2020_01,SC,Santa Catarina,Carlos Moises,M,PSL,2019-01-01,2022-12-31,2020-10-24,2020-11-27,impeachment_suspension,first_impeachment_case_prosecutors_pay_raise,tribunal_especial_accepts_denuncia,Tribunal_Especial_de_Julgamento,vice_assumed_interim,yes,no,,,state_impeachment,no,Afastamento temporario no primeiro processo de impeachment; absolvido e reconduzido em 27 de novembro de 2020,extended,Temporary interruption later reversed,0,1,ALESC,ALESC memoria politica
SC_2021_01,SC,Santa Catarina,Carlos Moises,M,PSL,2019-01-01,2022-12-31,2021-03-30,2021-05-07,impeachment_suspension,second_impeachment_case_respirators,tribunal_especial_accepts_denuncia,Tribunal_Especial_de_Julgamento,vice_assumed_interim,yes,no,,,state_impeachment,no,Segundo afastamento temporario; absolvido no caso dos respiradores e reconduzido em 7 de maio de 2021,extended,Temporary interruption later reversed,0,1,ALESC,ALESC agenciaal
TO_2021_01,TO,Tocantins,Mauro Carlesse,M,PSL,2019-01-01,2022-12-31,2021-10-20,,judicial_suspension_followed_by_resignation,stj_suspension_and_renunciation,STJ_cautelar_180_days,STJ,vice_assumed_then_became_governor,yes,no,,,STJ,no,Afastado por 180 dias pelo STJ em 20 de outubro de 2021 e renunciou ao mandato em 11 de marco de 2022 sem retornar ao cargo,main,Temporary judicial removal converted into permanent loss of office,1,1,STJ,STJ 2022 remessa apos renuncia
TO_2025_01,TO,Tocantins,Wanderlei Barbosa,M,Republicanos,2023-01-01,2026-12-31,2025-09-03,2025-12-05,judicial_suspension,stj_suspension_later_reversed_by_stf,STJ_cautelar_180_days,STJ,vice_assumed_interim,yes,no,,,STJ_then_STF,no,Afastado pelo STJ em 3 de setembro de 2025; retornou ao cargo em 5 de dezembro de 2025 por liminar do STF depois confirmada em dezembro de 2025,extended,Temporary judicial interruption later reversed,0,1,STJ,Metropoles/STF coverage
